"type","group","category","title","path","subcat","image"
"def",2,"GEOM","Acute Angle","http://everydaymath.uchicago.edu/img/vocab/acute-angle.jpg","Angles","nofile"
"def",2,"GEOM","Adjacent Angles","http://everydaymath.uchicago.edu/img/vocab/adjacent-angles.jpg","Angles","nofile"
"def",2,"GEOM","Adjacent Angles","http://everydaymath.uchicago.edu/img/vocab/adjacent-angles.jpg","Angles","nofile"
"def",2,"FPR","Bar Graph","http://everydaymath.uchicago.edu/img/vocab/bar-graph.jpg","Models","nofile"
"def",2,"FPR","Circle Graph","http://everydaymath.uchicago.edu/img/vocab/circle-graph.jpg","Models","nofile"
"def",2,"EAT","Combine Like Terms","http://everydaymath.uchicago.edu/img/vocab/combine-like-terms.jpg","Algebra","nofile"
"def",2,"FPR","Common Denominator","http://everydaymath.uchicago.edu/img/vocab/common-denominator.jpg","Basics","nofile"
"def",2,"FPR","Common Denominator","http://everydaymath.uchicago.edu/img/vocab/common-denominator.jpg","Basics","nofile"
"def",2,"NS","Common Factor","http://everydaymath.uchicago.edu/img/vocab/common-factor.jpg","Prime","nofile"
"def",2,"NS","Common Factor","http://everydaymath.uchicago.edu/img/vocab/common-factor.jpg","Computations","nofile"
"def",2,"NS","Composite Number","http://everydaymath.uchicago.edu/img/vocab/composite-number.jpg","Prime","nofile"
"def",2,"GEOM","Cone","http://everydaymath.uchicago.edu/img/vocab/cone-5.jpg","3D Shapes","nofile"
"def",2,"GEOM","Congruent","http://everydaymath.uchicago.edu/img/vocab/congruent-5.jpg","Scaling","nofile"
"def",2,"GEOM","Congruent","http://everydaymath.uchicago.edu/img/vocab/congruent-6.jpg","2D Shapes","nofile"
"def",2,"GEOM","Cube","http://everydaymath.uchicago.edu/img/vocab/cube-5.jpg","3D Shapes","nofile"
"def",2,"GEOM","Cylinder","http://everydaymath.uchicago.edu/img/vocab/cylinder-5.jpg","3D Shapes","nofile"
"def",2,"FPR","Denominator","http://everydaymath.uchicago.edu/img/vocab/denominator.jpg","Computations","nofile"
"def",2,"GEOM","Diameter","http://everydaymath.uchicago.edu/img/vocab/diameter-5.jpg","2D Shapes","nofile"
"def",2,"GEOM","Diameter","http://everydaymath.uchicago.edu/img/vocab/diameter-5.jpg","2D Shapes","nofile"
"def",2,"EAT","Distributive Property Of Mulitplication Over Addition","http://everydaymath.uchicago.edu/img/vocab/distributive-property-of-multiplication-over-addition.jpg","Algebra","nofile"
"def",2,"EAT","Distributive Property Of Mulitplication Over Subtraction","http://everydaymath.uchicago.edu/img/vocab/distributive-property-of-multiplication-over-subtraction.jpg","Algebra","nofile"
"def",2,"EAT","Dividend","http://everydaymath.uchicago.edu/img/vocab/dividend.jpg","Algebra","nofile"
"def",2,"EAT","Dividend","http://everydaymath.uchicago.edu/img/vocab/dividend.jpg","Algebra","nofile"
"def",2,"NS","Divisible By","http://everydaymath.uchicago.edu/img/vocab/divisible-by.jpg","Computations","nofile"
"def",2,"FPR","Division Of Fractions Property","http://everydaymath.uchicago.edu/img/vocab/division-of-fractions-property.jpg","Computations","nofile"
"def",2,"EAT","Divisor","http://everydaymath.uchicago.edu/img/vocab/divisor.jpg","Algebra","nofile"
"def",2,"EAT","Divisor","http://everydaymath.uchicago.edu/img/vocab/divisor.jpg","Algebra","nofile"
"def",2,"GEOM","Edge","http://everydaymath.uchicago.edu/img/vocab/edge.jpg","Shapes","nofile"
"def",2,"MP","Equally Likey Outcomes","http://everydaymath.uchicago.edu/img/vocab/equally-likely-outcomes-5.jpg","Probability","nofile"
"def",2,"MP","Equally Likey Outcomes","http://everydaymath.uchicago.edu/img/vocab/equally-likely-outcomes-6.jpg","Probability","nofile"
"def",2,"GEOM","Equilateral Triangles","http://everydaymath.uchicago.edu/img/vocab/equilateral-triangle.jpg","2D Shapes","nofile"
"def",2,"EAT","Equivalent Equations","http://everydaymath.uchicago.edu/img/vocab/equivalent-equations.jpg","Algebra","nofile"
"def",2,"EAT","Equivalent Equations","http://everydaymath.uchicago.edu/img/vocab/equivalent-equations.jpg","Algebra","nofile"
"def",2,"FPR","Equivalent Fractions","http://everydaymath.uchicago.edu/img/vocab/equivalent-fractions.jpg","Computations","nofile"
"def",2,"FPR","Equivalent Fractions","http://everydaymath.uchicago.edu/img/vocab/equivalent-fractions.jpg","Inequality","nofile"
"def",2,"MP","Estimation Challenge","http://everydaymath.uchicago.edu/img/vocab/estimation-challenge.jpg","Basics","nofile"
"def",2,"MP","Expected Outcome","http://everydaymath.uchicago.edu/img/vocab/expected-outcome.jpg","Probability","nofile"
"def",2,"NS","Exponent","http://everydaymath.uchicago.edu/img/vocab/exponent.jpg","Computations","nofile"
"def",2,"EAT","Exponent","http://everydaymath.uchicago.edu/img/vocab/exponent.jpg","Functions","nofile"
"def",2,"EAT","Exponential Notation","http://everydaymath.uchicago.edu/img/vocab/exponential-notation.jpg","Functions","nofile"
"def",2,"EAT","Exponential Notation","http://everydaymath.uchicago.edu/img/vocab/exponential-notation.jpg","Algebra","nofile"
"def",2,"EAT","Expression","http://everydaymath.uchicago.edu/img/vocab/expression.jpg","Variables","nofile"
"def",2,"NS","Factor","http://everydaymath.uchicago.edu/img/vocab/factor-5.jpg","Prime","nofile"
"def",2,"NS","Factor","http://everydaymath.uchicago.edu/img/vocab/factor-6.jpg","Prime","nofile"
"def",2,"NS","Factor Tree","http://everydaymath.uchicago.edu/img/vocab/factor-tree.jpg","Prime","nofile"
"def",2,"GEOM","Formula","http://everydaymath.uchicago.edu/img/vocab/formula-5.jpg","Shapes","nofile"
"def",2,"GEOM","Formula","http://everydaymath.uchicago.edu/img/vocab/formula-6.jpg","Basics","nofile"
"def",2,"NS","Greatest Common Factor","http://everydaymath.uchicago.edu/img/vocab/greatest-common-factor.jpg","Prime","nofile"
"def",2,"NS","Greatest Common Factor","http://everydaymath.uchicago.edu/img/vocab/greatest-common-factor-gcf.jpg","Computations","nofile"
"def",2,"GEOM","Hypotenuse","http://everydaymath.uchicago.edu/img/vocab/hypotenuse.jpg","2D Shapes","nofile"
"def",2,"FPR","Improper Fraction","http://everydaymath.uchicago.edu/img/vocab/improper-fraction.jpg","Inequality","nofile"
"def",2,"FPR","Improper Fractions","http://everydaymath.uchicago.edu/img/vocab/improper-fraction.jpg","Computations","nofile"
"def",2,"GEOM","Indirect Measurement","http://everydaymath.uchicago.edu/img/vocab/indirect-measurement.jpg","2D Shapes","nofile"
"def",2,"FPR","Inequality","http://everydaymath.uchicago.edu/img/vocab/inequality.jpg","Inequality","nofile"
"def",2,"NS","Integer","http://everydaymath.uchicago.edu/img/vocab/integer.jpg","Basics","nofile"
"def",2,"FPR","Least Common Denominator","http://everydaymath.uchicago.edu/img/vocab/least-common-denominator-lcd.jpg","Basics","nofile"
"def",2,"NS","Least Common Multiple","http://everydaymath.uchicago.edu/img/vocab/least-common-multiple.jpg","Prime","nofile"
"def",2,"FPR","Least Common Multiple","http://everydaymath.uchicago.edu/img/vocab/least-common-multiple-lcm.jpg","Computations","nofile"
"def",2,"GEOM","Leg Of A Right Triangle","http://everydaymath.uchicago.edu/img/vocab/leg-of-a-right-triangle.jpg","2D Shapes","nofile"
"def",2,"EAT","Like Terms","http://everydaymath.uchicago.edu/img/vocab/like-terms.jpg","Algebra","nofile"
"def",2,"GEOM","Line Of Reflection (Mirror Line)","http://everydaymath.uchicago.edu/img/vocab/line-of-reflection-mirror-line.jpg","Transformations","nofile"
"def",2,"MP","Majority","http://everydaymath.uchicago.edu/img/vocab/majority.jpg","Probability","nofile"
"def",2,"MP","Maximum","http://everydaymath.uchicago.edu/img/vocab/maximum.jpg","Data","nofile"
"def",2,"MP","Maximum","http://everydaymath.uchicago.edu/img/vocab/maximum.jpg","Data","nofile"
"def",2,"MP","Mean","http://everydaymath.uchicago.edu/img/vocab/mean.jpg","Data","nofile"
"def",2,"MP","Median","http://everydaymath.uchicago.edu/img/vocab/median.jpg","Data Description","nofile"
"def",2,"MP","Median","http://everydaymath.uchicago.edu/img/vocab/median.jpg","Data","nofile"
"def",2,"MP","Minimum","http://everydaymath.uchicago.edu/img/vocab/minimum.jpg","Data","nofile"
"def",2,"MP","Minimum","http://everydaymath.uchicago.edu/img/vocab/minimum.jpg","Data","nofile"
