"type","group","category","title","path","subcat","image"
"tut",25,"EE","Algebra 1","SV_9KSMgF8TZOUZdZz","Qualtrics","G2EATalg1"
"tut",25,"EE","Algebra 2","SV_9EQWkZHx8J2o7k1","Qualtrics","G2EATalg2"
"def",25,"EE","Combine Like Terms","http://everydaymath.uchicago.edu/images/vocab/combine-like-terms.jpg","Algebra","nofile"
"vid",25,"EE","Distributive Property Example 1","ewEorPD4kdA","Algebra","nofile"
"def",25,"EE","Distributive Property Of Mulitplication Over Addition","http://everydaymath.uchicago.edu/images/vocab/distributive-property-of-multiplication-over-addition.jpg","Algebra","nofile"
"def",25,"EE","Distributive Property Of Mulitplication Over Subtraction","http://everydaymath.uchicago.edu/images/vocab/distributive-property-of-multiplication-over-subtraction.jpg","Algebra","nofile"
"def",25,"EE","Dividend","http://everydaymath.uchicago.edu/images/vocab/dividend.jpg","Algebra","nofile"
"def",25,"EE","Dividend","http://everydaymath.uchicago.edu/images/vocab/dividend.jpg","Algebra","nofile"
"def",25,"EE","Divisor","http://everydaymath.uchicago.edu/images/vocab/divisor.jpg","Algebra","nofile"
"def",25,"EE","Divisor","http://everydaymath.uchicago.edu/images/vocab/divisor.jpg","Algebra","nofile"
"def",25,"EE","Equivalent Equations","http://everydaymath.uchicago.edu/images/vocab/equivalent-equations.jpg","Algebra","nofile"
"def",25,"EE","Equivalent Equations","http://everydaymath.uchicago.edu/images/vocab/equivalent-equations.jpg","Algebra","nofile"
"def",25,"EE","Exponent","http://everydaymath.uchicago.edu/images/vocab/exponent.jpg","Functions","nofile"
"def",25,"EE","Exponential Notation","http://everydaymath.uchicago.edu/images/vocab/exponential-notation.jpg","Functions","nofile"
"def",25,"EE","Exponential Notation","http://everydaymath.uchicago.edu/images/vocab/exponential-notation.jpg","Algebra","nofile"
"def",25,"EE","Expression","http://everydaymath.uchicago.edu/images/vocab/expression.jpg","Variables","nofile"
"vid",25,"EE","Expression Terms, Factors And Coefficients","9_VCk9tWT0Y","Algebra","nofile"
"tut",25,"EE","Functions 1","SV_dcaXCEgnPlrhX6d","Qualtrics","G2EATfunc1"
"vid",25,"EE","Inequalities In One Variable 1 Exercise","aINeMQH77jg","Variables","nofile"
"vid",25,"EE","Introduction To Order Of Operations","ClYdw4d4OmA","Algebra","nofile"
"vid",25,"EE","Intuition Why We Divide Both Sides","Ye13MIPv6n0","Algebra","nofile"
"def",25,"EE","Like Terms","http://everydaymath.uchicago.edu/images/vocab/like-terms.jpg","Algebra","nofile"
"vid",25,"EE","One-Step Equation Intuition","kbqO0YTUyAY","Algebra","nofile"
"def",25,"EE","Order Of Operations","http://everydaymath.uchicago.edu/images/vocab/order-of-operations.jpg","Algebra","nofile"
"def",25,"EE","Order Of Operations","http://everydaymath.uchicago.edu/images/vocab/order-of-operations.jpg","Algebra","nofile"
"def",25,"EE","Power","http://everydaymath.uchicago.edu/images/vocab/power.jpg","Functions","nofile"
"def",25,"EE","Quotient","http://everydaymath.uchicago.edu/images/vocab/quotient-5.jpg","Algebra","nofile"
"def",25,"EE","Quotient","http://everydaymath.uchicago.edu/images/vocab/quotient-6.jpg","Algebra","nofile"
"def",25,"EE","Remainder","http://everydaymath.uchicago.edu/images/vocab/remainder-5.jpg","Algebra","nofile"
"def",25,"EE","Remainder","http://everydaymath.uchicago.edu/images/vocab/remainder-6.jpg","Algebra","nofile"
"vid",25,"EE","Representing A Relationship With A Simple Equation","XN48Ba9Ncr8","Algebra","nofile"
"vid",25,"EE","Simple Equations Of The Form Ax = B","9Ek61w1LxSc","Algebra","nofile"
"def",25,"EE","Simplify An Expression","http://everydaymath.uchicago.edu/images/vocab/simplify-an-expression.jpg","Algebra","nofile"
"def",25,"EE","Variable","http://everydaymath.uchicago.edu/images/vocab/variable.jpg","Variable","nofile"
"def",25,"EE","Variable","http://everydaymath.uchicago.edu/images/vocab/variable.jpg","Variables","nofile"
"tut",25,"EE","Variables 1","SV_1FvD3bDBjOFbqLP","Qualtrics","G2EATvar1"
"tut",25,"EE","Variables 2","SV_899vQ7ddoUDqHCR","Qualtrics","G2EATvar2"
"vid",25,"EE","Variables, Expressions, And Equations","vDqOoI-4Z6M","Algebra","nofile"
"vid",25,"EE","What Is A Variable?","tHYis-DP0oU","Variables","nofile"
"vid",25,"EE","Why We Do The Same Thing To Both Sides: Simple Equations","5FBDqY41GjU","Algebra","nofile"
"def",25,"EE","Addition Method For Solving A System","UCSMPg7-8additionmethodforsolvingasystem","Properties","nofile"
"def",25,"EE","Addition Property Of Equality","UCSMPg7-8additionpropertyofequality","Properties","nofile"
"def",25,"EE","Addition Property Of Inequality","UCSMPg7-8additionpropertyofinequality","Properties","nofile"
"def",25,"EE","Associative Property Of Multiplication","UCSMPg7-8associativepropertyofaddition","Properties","nofile"
"def",25,"EE","Associative Property Of Multiplication","UCSMPg7-8associativepropertyofmultiplication","Properties","nofile"
"def",25,"EE","Base","UCSMPg7-8base","Basics","nofile"
"vid",25,"EE","Basic Linear Equation Word Problem","roHvNNFXr4k","Equations","nofile"
"vid",25,"EE","Combining Like Terms","CLWpkv6ccpA","Properties","nofile"
"vid",25,"EE","Combining Like Terms And The Distributive Property","3NHSwiv_pSE","Properties","nofile"
"def",25,"EE","Commutative Property Of Addition","UCSMPg7-8commutativepropertyofaddition","Properties","nofile"
"def",25,"EE","Commutative Property Of Multiplication","UCSMPg7-8commutativepropertyofmultiplication","Properties","nofile"
"def",25,"EE","Distributive Property Of Multiplication","UCSMPg7-8distributivepropertyofmultiplication","Properties","nofile"
