q_id,q_name,group,q_catagory
SV_0Ckh0gAUdIF9YKp,GEN_G1_Q01,1,gen
SV_cXQnDQiVRYl8B1j,GEN_G1_Q02,1,gen
SV_09dr5xHubONhnbD,GEN_G1_Q03,1,gen
SV_6fWMX3BQbuGobSl,GEN_G1_Q04,1,gen
SV_em1N0pqRz05wCcB,GEN_G1_Q05,1,gen
SV_e9Z2nGkCX6BjJUV,GEN_G1_Q06,1,gen
SV_3OziHPXCJ2ECleJ,GEN_G1_Q07,1,gen
SV_b1kCFaM5MCazuLj,GEN_G1_Q08,1,gen
SV_eqtZeKfHqAmwOiN,GEN_G1_Q09,1,gen
SV_1SuQmmQgSAGTR65,GEN_G1_Q10,1,gen
SV_6A7NhtUorRE7tqd,GEN_G1_Q11,1,gen
SV_9Ktk1HQFnQ7K6KV,GEN_G1_Q12,1,gen
SV_etwrSONLCewELel,GEN_G1_Q13,1,gen
SV_3KIAc5uMGZ2EHfD,GEN_G1_Q14,1,gen
SV_4MDZKhBDYqsRg6F,GEN_G1_Q15,1,gen
SV_3OxHMzPLVlVwfKB,GEN_G1_Q16,1,gen
SV_aW9Bp04fNLGhpR3,GEN_G1_Q17,1,gen
SV_cZLpROptdWxepb7,GEN_G1_Q18,1,gen
SV_5A22MJj6gHe9V0p,GEN_G1_Q19,1,gen
SV_cViVh6cBkWbJG05,GEN_G1_Q20,1,gen
SV_6P6ZoXFqpF5ZbXT,GEN_G1_Q21,1,gen
SV_3yCy8Btg2SDZBOZ,GEN_G1_Q22,1,gen
SV_d4FEGnRKOCgRKL3,GEN_G1_Q23,1,gen
SV_5uUY7zHbcme0FwN,GEN_G1_Q24,1,gen
SV_bg3C8ZEDz71Lg8d,GEN_G1_Q25,1,gen
SV_8nPXi0GSJj8mNYV,GEN_G1_Q26,1,gen
SV_1TxSZUzeg66vJAx,GEN_G1_Q27,1,gen
SV_0B43wB8RirFc7hH,GEN_G1_Q28,1,gen
SV_0MQLbHp0Xkl2073,GEN_G1_Q29,1,gen
SV_eM0ZOUd2NGV6brv,GEN_G1_Q30,1,gen
SV_eFC8xb3ZzJwIxqB,GEN_G1_Q31,1,gen
SV_0ljVx7EVyJab5uR,GEN_G1_Q32,1,gen
SV_0xPOCl6DQLp6WX3,GEN_G1_Q33,1,gen
SV_3R8Ev8TfxWahcyN,GEN_G1_Q34,1,gen
SV_es1un5tjs9INtSl,GEN_G1_Q35,1,gen
SV_7OgiAndXIxDmJyB,GEN_G1_Q36,1,gen
SV_ezVRLbWWR8mUGYB,GEN_G1_Q37,1,gen
SV_a8EsumfBKyp5QtT,GEN_G1_Q38,1,gen
SV_1KOTVudEIh5qIh7,GEN_G1_Q39,1,gen
SV_6PauKj4LdjC0s8l,GEN_G1_Q40,1,gen
SV_bxUFbnuGOP9DX3n,GEN_G1_Q41,1,gen
SV_2boRYrZXoRrJdR3,GEN_G1_Q42,1,gen
SV_3gvQWmOoUwCTmxT,GEN_G1_Q43,1,gen
SV_3OVfjigFzaJzDRb,GEN_G1_Q44,1,gen
SV_eLO6k7PywJLFNml,GEN_G1_Q45,1,gen
SV_bJYrz1ue74wEFzn,GEN_G1_Q46,1,gen
SV_0jjKeqO69xL20Sx,GEN_G1_Q47,1,gen
SV_8GJvwSaMvVC8TQ1,GEN_G1_Q48,1,gen
SV_6feGmMJbFIT7dLD,GEN_G1_Q49,1,gen
SV_6r0TuUClamiR3il,GEN_G1_Q50,1,gen
SV_dnWhnhTjI69Sbe5,GEN_G1_Q51,1,gen
SV_cAqzy0Ku5K1UVHn,GEN_G1_Q52,1,gen
SV_a2GdGG3nbZNxxgF,GEN_G1_Q53,1,gen
SV_4ZvIzcYwy5DMpsV,GEN_G1_Q54,1,gen
SV_dmvXZEbtgyeWfjf,GEN_G1_Q55,1,gen
SV_4PmkmG4xBYtvLdX,GEOM_G1_Q1,1,geom
SV_3PmAIZWnnZvZgX3,GEOM_G1_Q2,1,geom
SV_6ScRaOA2G2JKz4h,GEOM_G1_Q3,1,geom
SV_01WNVJ7BlikREHj,GEOM_G1_Q4,1,geom
SV_6ydaxicEoisB3bD,GEOM_G1_Q5,1,geom
SV_5neBJqvCavX7K9T,MD_G1_Q1,1,md
SV_b28uWajmHVlX4NL,MD_G1_Q2,1,md
SV_6Mq8epOHxUoPAJn,MD_G1_Q3,1,md
SV_7OQy48Ex6fEyGcl,MD_G1_Q4,1,md
SV_8i90ZIp1tvynzP7,MD_G1_Q5,1,md
SV_57M72WCuVvBeb7n,NOBT_G1_Q1,1,nobt
SV_bgzOFnk0Tq3eVW5,NOBT_G1_Q2,1,nobt
SV_3EnZ0aq2NZ5K0Qt,NOBT_G1_Q3,1,nobt
SV_3dDmmWT97PBt1op,NOBT_G1_Q4,1,nobt
SV_b1roLhe3FdUBy0R,NOBT_G1_Q5,1,nobt
SV_9FfMhViUkd9r2S1,NOF_G1_Q1,1,nof
SV_5psyzGfI5vQMdg1,NOF_G1_Q2,1,nof
SV_9HPpsuBjuFtdirr,NOF_G1_Q3,1,nof
SV_38DHZwTkv5ulFtP,NOF_G1_Q4,1,nof
SV_9R0GqHFp4Z3C35j,NOF_G1_Q5,1,nof
SV_e3RD112CNgvnqKN,OAT_G1_Q1,1,oat
SV_9v55yKXuSvsmfCl,OAT_G1_Q2,1,oat
SV_9M3AtKE35KWdnUh,OAT_G1_Q3,1,oat
SV_6DVxK0bEELafj6J,OAT_G1_Q4,1,oat
SV_6M2Y6VjjWqnxNlP,OAT_G1_Q5,1,oat
