"Theme","Theme ABRV","Level #","Level","article","level_tagline","theme_tagline","your_task","Image File"
"Lord of the Rings","LOTR",1,"Dwarf","a","You are an excellent craftsman.",,"Use your power to save Middle Earth from evil.","LOTR_L1"
"Lord of the Rings","LOTR",2,"Hobbit","a","You are the most peaceful race in Middle Earth.",,"Use your power to save Middle Earth from evil.","LOTR_L2"
"Lord of the Rings","LOTR",3,"Ranger (Human)","a","You have earned extra long life.",,"Use your power to save Middle Earth from evil.","LOTR_L3"
"Lord of the Rings","LOTR",4,"Elf","an","You have earned immortality.",,"Use your power to save Middle Earth from evil.","LOTR_L4"
"Lord of the Rings","LOTR",5,"King of Men","the","You are ruler of the everlasting race. ",,"Use your power to save Middle Earth from evil.","LOTR_L5"
"Lord of the Rings","LOTR",6,"Grey Wizard","the","You are very powerful and a friend to all.",,"Use your power to save Middle Earth from evil.","LOTR_L6"
"Lord of the Rings","LOTR",7,"White Wizard","the","You are the highest power in Middle Earth.",,"Use your power to save Middle Earth from evil.","LOTR_L7"
"Star Wars - Jedi","SWJ",1,"Youngling","a","You have enterered the Star Wars universe.",,"Use the Force to protect those in need.","SWJ_L1"
"Star Wars - Jedi","SWJ",2,"Padawan ","a","You are in training.",,"Use the Force to protect those in need.","SWJ_L2"
"Star Wars - Jedi","SWJ",3,"Jedi Trials","preparing for your","You have your first test for achieving knighthood.",,"Use the Force to protect those in need.","SWJ_L3"
"Star Wars - Jedi","SWJ",4,"Jedi Knight","a","You are a member of the Jedi order.",,"Use the Force to protect those in need.","SWJ_L4"
"Star Wars - Jedi","SWJ",5,"Jedi Trainer","a","You have begun training other Jedis.",,"Use the Force to protect those in need.","SWJ_L5"
"Star Wars - Jedi","SWJ",6,"Jedi Master","a","You are the highest ranking member of the Jedi order.",,"Use the Force to protect those in need.","SWJ_L6"
"Star Wars - Jedi","SWJ",7,"Master Yoda",,"You have mastered the Force.",,"Use the Force to protect those in need.","SWJ_L7"
"Star Wars - Sith","SWS",1,"Youngling","a","You have enterered the Star Wars universe.",,"Master the dark side of the Force.","SWS_L1"
"Star Wars - Sith","SWS",2,"Padawan ","a","You are in training.",,"Master the dark side of the Force.","SWS_L2"
"Star Wars - Sith","SWS",3,"Jedi Trials","preparing for your","You have your first test for achieving knighthood.",,"Master the dark side of the Force.","SWS_L3"
"Star Wars - Sith","SWS",4,"Jedi Knight","a","You are a member of the Jedi order.",,"Master the dark side of the Force.","SWS_L4"
"Star Wars - Sith","SWS",5,"Sith Apprentice","a","You have turned to the dark side.",,"Master the dark side of the Force.","SWS_L5"
"Star Wars - Sith","SWS",6,"Sith Lord","a","You have a vast knowledge of the dark side.",,"Master the dark side of the Force.","SWS_L6"
"Star Wars - Sith","SWS",7,"Darth Vader",,"You are the most powerful source of evil.",,"Master the dark side of the Force.","SWS_L7"
"Avatar the Last Airbender Powers","ALAP",1,"Water Bender","a","You can control water in any of its forms.",,"Bring peace to the world by manipulating elements with your mind.","ALAP_L1"
"Avatar the Last Airbender Powers","ALAP",2,"Fire Bender","a","You can generate and control fire.",,"Bring peace to the world by manipulating elements with your mind.","ALAP_L2"
"Avatar the Last Airbender Powers","ALAP",3,"Earth Bender","an","You can control earth and rock in any form.",,"Bring peace to the world by manipulating elements with your mind.","ALAP_L3"
"Avatar the Last Airbender Powers","ALAP",4,"Air Bender","an","You can control the currents of air.",,"Bring peace to the world by manipulating elements with your mind.","ALAP_L4"
"Avatar the Last Airbender Powers","ALAP",5,"Metal Bender","a","You can control processsed metal.",,"Bring peace to the world by manipulating elements with your mind.","ALAP_L5"
"Avatar the Last Airbender Powers","ALAP",6,"Spirit World Traveller","a","You can travel freely between the Spirit World and the real world.",,"Bring peace to the world by manipulating elements with your mind.","ALAP_L6"
"Avatar the Last Airbender Powers","ALAP",7,"The Avatar",,"You are the only being who can bend all four elements.",,"Bring peace to the world by manipulating elements with your mind.","ALAP_L7"
"Boy Bands","BB",1,"B5",,"You have released studio albums.",,"Gain eternal fame as a young male popstar.","BB_L1"
"Boy Bands","BB",2,"Jonas Brothers",,"You are Disney's most famous boy band.",,"Gain eternal fame as a young male popstar.","BB_L2"
"Boy Bands","BB",3,"Jacob Latimore",,"You are both a musician and actor.",,"Gain eternal fame as a young male popstar.","BB_L3"
"Boy Bands","BB",4,"Cody Simpson",,"You have won Nickelodeon Kids' Choice Awards and Radio Disney Music Awards.",,"Gain eternal fame as a young male popstar.","BB_L4"
"Boy Bands","BB",5,"One Direction",,"You are currently the most famous boy band in the world.",,"Gain eternal fame as a young male popstar.","BB_L5"
"Boy Bands","BB",6,"Justin Timberlake",,"You have received 9 Grammy Awards.",,"Gain eternal fame as a young male popstar.","BB_L6"
"Boy Bands","BB",7,"Justin Beiber",,"You have over 50 million Twitter followers.",,"Gain eternal fame as a young male popstar.","BB_L7"
"Sports - Football - Bears","BEAR",1,"Pop Warner Football player","a","You have started playing football.",,"Become a famous and talented football player for the Bears.","BEAR_L1"
"Sports - Football - Bears","BEAR",2,"High School Football player","a","You are playing in the Homecoming football game.",,"Become a famous and talented football player for the Bears.","BEAR_L2"
